m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20
0.76,-0.9,0.98,-1.0,-0.94,-0.98,0.0,0.2,0.98,-0.92,-0.9,-0.98,-0.96,0.94,-0.76,0.6,-0.94,-0.98,0.98,1.0
0.72,-0.94,0.96,-1.0,-0.92,-0.94,-0.04,0.5,0.94,-0.9,-0.92,-0.98,-1.0,0.96,-0.74,0.64,-0.98,-0.94,0.96,1.0
0.68,-1.0,0.96,-1.0,-0.84,-0.96,-0.12,0.6,0.94,-0.82,-0.94,-1.0,-0.94,0.98,-0.74,0.52,-1.0,-0.94,1.0,0.98
0.76,-1.0,0.9,-0.98,-0.84,-0.98,-0.22,0.66,0.92,-0.94,-0.92,-0.96,-1.0,1.0,-0.74,0.54,-1.0,-0.96,0.88,1.0
0.9,-0.98,0.92,-0.92,-0.9,-1.0,-0.34,0.64,0.96,-1.0,-1.0,-0.96,-1.0,0.96,-0.92,0.48,-0.96,-0.94,0.92,0.98
0.98,-1.0,0.98,-0.96,-0.88,-0.94,-0.44,0.66,1.0,-1.0,-0.98,-0.98,-0.96,1.0,-0.86,0.52,-0.94,-0.96,0.92,1.0
0.94,-1.0,0.98,-0.96,-1.0,-0.96,-0.48,0.6,1.0,-0.92,-1.0,-1.0,-1.0,0.98,-0.94,0.6,-0.96,-0.98,0.92,0.98
0.98,-1.0,1.0,-0.94,-1.0,-0.98,-0.48,0.62,1.0,-1.0,-0.96,-1.0,-1.0,0.94,-0.92,0.62,-1.0,-0.94,0.96,1.0
0.96,-1.0,0.96,-0.98,-0.96,-0.96,-0.58,0.66,1.0,-0.98,-0.98,-1.0,-1.0,0.94,-1.0,0.7,-0.98,-0.96,0.98,1.0
0.98,-1.0,0.98,-1.0,-1.0,-0.98,-0.66,0.72,0.98,-0.94,-1.0,-1.0,-0.98,0.98,-0.96,0.78,-0.98,-1.0,0.98,0.98
0.94,-0.98,0.96,-1.0,-1.0,-1.0,-0.76,0.9,1.0,-0.92,-0.96,-0.98,-0.98,1.0,-1.0,0.78,-1.0,-1.0,1.0,1.0
0.94,-0.98,0.92,-1.0,-1.0,-1.0,-0.82,0.92,1.0,-0.98,-0.98,-0.98,-0.98,0.96,-0.98,0.82,-0.98,-1.0,1.0,0.98
0.98,-0.98,0.96,-0.98,-0.98,-0.98,-0.86,0.98,1.0,-1.0,-0.98,-0.98,-0.96,0.96,-0.96,0.88,-0.96,-1.0,1.0,1.0
0.96,-1.0,0.96,-1.0,-0.94,-0.94,-0.98,0.96,0.98,-0.98,-1.0,-1.0,-1.0,0.96,-1.0,0.96,-0.94,-1.0,0.94,1.0
0.96,-0.98,0.98,-1.0,-0.98,-0.98,-1.0,1.0,0.96,-0.98,-0.98,-1.0,-1.0,1.0,-0.98,0.98,-1.0,-1.0,0.94,0.96
0.98,-0.96,0.96,-0.98,-0.96,-0.96,-0.98,1.0,0.98,-0.98,-0.98,-1.0,-1.0,0.96,-0.98,0.94,-1.0,-0.98,0.94,0.98
0.94,-0.98,0.96,-1.0,-0.98,-0.98,-1.0,1.0,0.96,-0.98,-0.96,-0.98,-1.0,0.96,-0.96,0.98,-0.98,-0.98,0.98,1.0
0.92,-0.98,1.0,-0.98,-0.98,-0.96,-1.0,1.0,0.96,-0.98,-0.92,-0.96,-0.98,1.0,-0.92,0.96,-1.0,-1.0,0.98,0.98
0.94,-1.0,0.96,-0.98,-0.94,-0.92,-1.0,0.98,0.96,-0.98,-0.98,-1.0,-0.96,0.98,-0.94,0.96,-0.98,-0.94,0.96,1.0
0.94,-1.0,0.96,-0.92,-0.88,-0.96,-0.96,0.94,0.98,-0.98,-0.92,-1.0,-0.96,1.0,-0.98,0.94,-0.96,-1.0,0.98,0.98
1.0,-0.96,0.96,-0.94,-0.84,-0.88,-1.0,0.96,0.94,-0.96,-0.86,-0.98,-0.98,0.96,-0.98,0.96,-0.96,-1.0,0.98,1.0
0.98,-0.94,0.96,-0.96,-0.92,-0.86,-1.0,1.0,0.94,-0.98,-0.94,-1.0,-0.98,0.98,-1.0,0.98,-0.96,-1.0,0.98,0.98
0.98,-0.98,0.96,-1.0,-0.94,-0.92,-0.98,0.98,0.96,-1.0,-1.0,-0.98,-0.98,1.0,-1.0,0.98,-0.94,-1.0,0.96,1.0
0.98,-1.0,1.0,-1.0,-0.9,-0.94,-1.0,0.98,0.94,-1.0,-0.98,-0.98,-0.92,1.0,-0.98,0.98,-0.9,-1.0,0.96,1.0
0.96,-1.0,1.0,-0.96,-0.96,-0.98,-0.98,1.0,0.98,-1.0,-1.0,-0.96,-0.98,1.0,-0.96,0.96,-0.86,-0.94,1.0,0.94
0.98,-1.0,1.0,-0.94,-1.0,-1.0,-0.98,1.0,0.98,-0.98,-1.0,-1.0,-1.0,1.0,-0.96,0.96,-0.96,-0.98,1.0,0.92
1.0,-0.96,1.0,-0.96,-1.0,-1.0,-0.98,0.94,1.0,-0.98,-1.0,-1.0,-0.96,1.0,-0.98,0.96,-0.96,-0.98,1.0,0.92
0.98,-0.98,0.96,-0.94,-1.0,-1.0,-0.94,0.98,0.98,-0.92,-1.0,-0.9,-0.96,1.0,-1.0,0.98,-0.92,-1.0,0.98,0.96
0.94,-0.96,0.92,-0.98,-0.98,-1.0,-0.96,0.94,0.96,-1.0,-0.98,-0.98,-1.0,1.0,-1.0,1.0,-0.9,-0.94,1.0,1.0
0.96,-0.98,0.86,-0.98,-1.0,-1.0,-1.0,0.86,0.98,-0.96,-0.96,-0.98,-1.0,1.0,-0.98,0.96,-0.94,-0.98,1.0,1.0
0.98,-1.0,0.9,-0.88,-1.0,-1.0,-1.0,0.96,0.9,-0.96,-1.0,-0.96,-0.96,1.0,-1.0,1.0,-0.96,-0.98,1.0,1.0
0.96,-0.98,0.94,-0.96,-1.0,-1.0,-1.0,0.96,0.88,-1.0,-0.98,-0.94,-0.94,1.0,-0.98,1.0,-0.96,-0.98,1.0,1.0
0.94,-0.98,0.96,-1.0,-1.0,-1.0,-1.0,0.98,0.96,-0.96,-1.0,-0.82,-0.98,0.98,-0.96,1.0,-0.94,-1.0,1.0,0.98
0.94,-0.92,0.98,-0.98,-1.0,-0.98,-1.0,1.0,0.98,-1.0,-1.0,-0.84,-1.0,1.0,-0.88,1.0,-0.96,-1.0,1.0,0.98
0.98,-0.9,0.98,-0.98,-0.98,-0.96,-1.0,0.94,0.98,-1.0,-0.94,-0.76,-1.0,0.98,-0.94,0.98,-0.98,-1.0,1.0,0.94
1.0,-0.88,0.94,-0.96,-0.96,-1.0,-1.0,0.96,1.0,-0.92,-0.98,-0.78,-1.0,1.0,-0.98,0.94,-0.98,-0.98,0.98,0.96
1.0,-0.9,0.94,-0.92,-0.96,-1.0,-1.0,0.96,1.0,-0.88,-0.94,-0.84,-1.0,0.98,-0.96,0.96,-0.96,-0.98,0.98,0.98
0.98,-0.88,0.94,-0.94,-1.0,-0.96,-1.0,0.96,1.0,-0.86,-0.92,-0.84,-1.0,0.98,-0.94,0.96,-0.98,-0.98,0.98,0.94
0.94,-0.82,0.96,-0.96,-0.98,-0.96,-0.98,0.96,0.98,-0.92,-0.98,-0.86,-0.98,0.96,-0.98,0.98,-0.9,-1.0,0.98,1.0
0.96,-0.84,0.96,-1.0,-0.98,-0.94,-0.96,1.0,0.98,-0.84,-1.0,-0.96,-1.0,1.0,-0.96,0.98,-0.94,-0.94,0.98,0.98
1.0,-0.92,0.92,-1.0,-0.98,-0.96,-0.96,1.0,0.98,-0.94,-1.0,-0.96,-1.0,1.0,-1.0,1.0,-0.98,-0.98,0.98,0.94
0.98,-0.94,0.96,-0.98,-0.98,-0.98,-0.96,1.0,0.98,-0.96,-1.0,-0.96,-1.0,0.96,-1.0,1.0,-0.98,-0.9,1.0,0.96
0.98,-0.96,0.9,-0.96,-1.0,-0.96,-0.98,0.98,1.0,-0.98,-0.98,-0.96,-1.0,0.88,-1.0,1.0,-1.0,-0.92,0.96,0.92
1.0,-0.96,0.92,-1.0,-1.0,-0.96,-0.96,0.94,0.96,-0.98,-0.98,-0.94,-1.0,0.86,-0.98,1.0,-0.98,-0.96,0.94,0.98
1.0,-0.98,1.0,-1.0,-0.98,-0.98,-0.98,0.94,0.98,-0.98,-0.96,-1.0,-1.0,0.88,-0.98,1.0,-0.94,-0.98,0.86,0.98
1.0,-0.94,0.92,-1.0,-1.0,-0.96,-0.96,1.0,1.0,-0.98,-0.98,-1.0,-0.98,0.9,-1.0,1.0,-0.98,-1.0,0.84,1.0
1.0,-0.96,0.98,-0.98,-1.0,-0.96,-0.98,1.0,1.0,-0.98,-0.98,-1.0,-0.96,0.96,-0.96,1.0,-1.0,-1.0,0.92,1.0
1.0,-1.0,0.96,-0.98,-1.0,-0.98,-1.0,0.98,1.0,-0.96,-0.96,-0.98,-0.96,0.94,-0.96,1.0,-1.0,-1.0,0.96,1.0
0.98,-0.96,0.9,-0.92,-1.0,-0.96,-0.98,1.0,1.0,-0.96,-0.96,-0.96,-0.98,0.92,-0.96,1.0,-1.0,-0.94,0.94,0.98
0.98,-0.96,0.82,-0.94,-0.98,-0.98,-0.94,1.0,0.96,-0.98,-0.98,-0.94,-0.98,0.92,-0.92,0.96,-1.0,-0.96,0.96,0.96
0.96,-0.96,0.86,-0.98,-1.0,-0.94,-0.84,1.0,1.0,-1.0,-1.0,-0.92,-1.0,0.94,-0.96,0.98,-1.0,-0.98,1.0,0.96
0.94,-0.98,0.94,-0.98,-0.96,-0.88,-0.92,1.0,0.96,-1.0,-1.0,-0.96,-0.96,0.92,-0.98,0.94,-1.0,-0.98,1.0,0.98
0.98,-0.98,0.98,-0.98,-0.94,-0.88,-0.96,1.0,0.92,-1.0,-0.98,-0.96,-0.98,0.98,-0.96,0.98,-0.98,-1.0,1.0,1.0
0.98,-0.98,0.96,-1.0,-0.9,-0.9,-0.96,1.0,0.94,-1.0,-1.0,-0.96,-0.94,0.96,-1.0,0.98,-0.96,-1.0,1.0,1.0
0.98,-1.0,0.92,-0.98,-0.88,-0.9,-0.98,0.98,0.96,-0.98,-0.98,-0.96,-0.92,0.92,-0.98,0.98,-0.94,-1.0,0.96,1.0
1.0,-0.94,0.92,-0.98,-0.9,-0.94,-0.98,1.0,0.96,-1.0,-1.0,-0.98,-0.94,0.92,-0.98,0.96,-0.98,-1.0,0.94,1.0
0.96,-0.96,0.92,-0.98,-0.9,-0.96,-1.0,0.98,0.98,-1.0,-1.0,-0.98,-0.92,0.96,-1.0,0.98,-0.96,-1.0,0.9,1.0
1.0,-1.0,0.98,-0.98,-0.96,-0.98,-1.0,0.96,1.0,-0.94,-0.96,-0.98,-0.92,1.0,-1.0,0.98,-0.94,-0.98,0.98,1.0
0.96,-0.98,0.92,-0.88,-0.98,-0.98,-1.0,0.96,0.98,-1.0,-0.98,-0.98,-0.96,1.0,-0.94,0.96,-0.96,-0.96,0.98,0.94
1.0,-1.0,0.92,-0.9,-0.96,-0.96,-1.0,0.98,0.96,-0.94,-0.94,-1.0,-0.98,1.0,-0.98,0.92,-0.96,-1.0,0.98,0.98
0.98,-0.98,0.96,-0.86,-0.98,-0.96,-1.0,0.98,0.96,-0.92,-0.98,-1.0,-0.98,0.96,-1.0,0.96,-0.98,-0.98,1.0,0.96
0.98,-0.98,0.96,-0.92,-1.0,-1.0,-0.98,0.94,0.94,-0.94,-1.0,-0.98,-0.96,0.98,-0.98,0.96,-0.98,-0.94,1.0,0.98
0.96,-0.98,0.98,-0.92,-1.0,-0.94,-0.98,0.96,0.92,-0.98,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.98,-0.98,1.0,0.98
0.98,-1.0,0.96,-0.98,-0.96,-0.98,-0.94,1.0,0.98,-0.94,-1.0,-1.0,-1.0,0.98,-1.0,1.0,-0.96,-0.96,0.98,0.94
0.98,-1.0,0.98,-1.0,-1.0,-0.96,-0.9,1.0,0.96,-0.92,-1.0,-1.0,-0.96,1.0,-0.98,1.0,-0.96,-1.0,0.98,0.96
0.98,-0.94,0.98,-1.0,-1.0,-0.98,-0.98,0.98,0.98,-0.94,-0.9,-0.98,-0.96,0.96,-1.0,0.98,-1.0,-1.0,0.96,0.96
1.0,-0.98,0.98,-1.0,-1.0,-0.98,-0.9,0.98,0.94,-0.96,-0.92,-1.0,-0.96,0.96,-1.0,0.96,-1.0,-1.0,1.0,0.92
0.98,-1.0,0.9,-0.96,-1.0,-0.94,-0.94,0.98,0.96,-0.96,-0.94,-1.0,-1.0,0.96,-0.98,1.0,-1.0,-0.94,1.0,0.9
