m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20
-0.284,-0.0344,-0.1816,0.3104,0.0672,0.332,0.0016,0.1448,-0.3336,-0.1952,-0.3888,0.2024,0.0624,-0.1256,0.26,0.016,0.0568,-0.0776,0.0184,-0.2784
-0.2848,-0.0432,-0.2056,0.2992,0.0712,0.3536,-0.0112,0.132,-0.3472,-0.2128,-0.3984,0.2232,0.0272,-0.14,0.2808,0.0008,0.0648,-0.0632,0.02,-0.2664
-0.272,-0.0584,-0.1984,0.2736,0.0384,0.364,-0.0304,0.1304,-0.3544,-0.2192,-0.4048,0.2176,0.0328,-0.1472,0.2776,0.0192,0.064,-0.0704,0.0472,-0.2792
-0.2656,-0.0504,-0.176,0.2928,0.0528,0.3928,-0.0336,0.1336,-0.3784,-0.2352,-0.4208,0.2344,0.0488,-0.1432,0.2752,-0.0072,0.0456,-0.0792,0.0472,-0.2632
-0.2816,-0.0592,-0.2056,0.3008,0.0688,0.412,-0.0304,0.1408,-0.3696,-0.2448,-0.4232,0.2224,0.0568,-0.1488,0.3008,-0.0112,0.0128,-0.0704,0.0688,-0.2536
-0.272,-0.0528,-0.1768,0.3296,0.0576,0.4048,-0.028,0.1632,-0.364,-0.2488,-0.432,0.1992,0.0336,-0.148,0.3128,-0.028,0.0184,-0.0784,0.0864,-0.2648
-0.2688,-0.0512,-0.2064,0.324,0.068,0.4072,-0.0088,0.1624,-0.3528,-0.232,-0.4432,0.2112,0.0416,-0.1304,0.312,-0.0448,0.0264,-0.0808,0.0792,-0.2984
-0.268,-0.0488,-0.2176,0.3544,0.0736,0.4056,-0.032,0.1672,-0.3568,-0.2184,-0.4592,0.2184,0.0696,-0.16,0.3088,-0.0488,0.0256,-0.1016,0.0944,-0.3096
-0.2904,-0.0576,-0.2272,0.352,0.0424,0.396,-0.044,0.1432,-0.3872,-0.2224,-0.4776,0.232,0.0832,-0.1608,0.3304,-0.04,0.0232,-0.1168,0.1008,-0.3144
-0.3016,-0.0448,-0.2264,0.364,0.036,0.4104,-0.06,0.1496,-0.4064,-0.2344,-0.5104,0.2352,0.1216,-0.1544,0.332,-0.0208,0.008,-0.1272,0.0896,-0.2952
-0.3304,-0.0448,-0.2256,0.36,0.0584,0.4032,-0.0768,0.1744,-0.4168,-0.2312,-0.5144,0.2536,0.1224,-0.1696,0.3456,-0.032,0.0016,-0.1416,0.0912,-0.3008
-0.3304,-0.0536,-0.2144,0.356,0.0568,0.4096,-0.0664,0.2008,-0.4248,-0.2432,-0.5168,0.2672,0.1104,-0.1712,0.3672,-0.0344,0.0176,-0.1376,0.1216,-0.284
-0.3112,-0.0496,-0.248,0.3992,0.072,0.3952,-0.0616,0.2032,-0.4248,-0.24,-0.5112,0.2816,0.0952,-0.1896,0.3752,-0.0224,-0.0032,-0.1832,0.0872,-0.2632
-0.3184,-0.0496,-0.2712,0.4096,0.0632,0.3936,-0.0744,0.228,-0.4336,-0.2472,-0.5088,0.28,0.1096,-0.1888,0.4056,-0.0184,-0.0072,-0.18,0.1056,-0.2528
-0.332,-0.0512,-0.276,0.4144,0.0608,0.4112,-0.0728,0.224,-0.4344,-0.2536,-0.524,0.2832,0.1176,-0.1984,0.4152,-0.0288,-0.0272,-0.1792,0.1008,-0.2504
-0.3408,-0.052,-0.2808,0.428,0.0432,0.432,-0.0616,0.2192,-0.4456,-0.2736,-0.544,0.3016,0.1328,-0.1808,0.4432,-0.0408,-0.0376,-0.1896,0.0904,-0.2568
-0.3368,-0.0488,-0.2872,0.4472,0.0192,0.4808,-0.0424,0.2424,-0.4416,-0.2552,-0.5536,0.2992,0.1184,-0.1824,0.4488,-0.0432,-0.0744,-0.1816,0.0928,-0.2328
-0.3128,-0.032,-0.3128,0.4456,0.028,0.4624,-0.04,0.2264,-0.4576,-0.2592,-0.5304,0.2952,0.1032,-0.2032,0.4632,-0.0496,-0.072,-0.176,0.0648,-0.244
-0.3056,-0.0224,-0.2936,0.4552,0.036,0.4696,-0.0464,0.2352,-0.4512,-0.2592,-0.5408,0.2992,0.0984,-0.2,0.4768,-0.052,-0.0552,-0.1712,0.0488,-0.2512
-0.3168,-0.0256,-0.2696,0.4672,0.012,0.4544,-0.0544,0.2464,-0.4568,-0.2808,-0.5472,0.3248,0.0808,-0.2232,0.4704,-0.0336,-0.0568,-0.1784,0.0776,-0.2448
-0.3128,-0.0496,-0.2768,0.4576,0.0248,0.4448,-0.044,0.2424,-0.4504,-0.284,-0.568,0.324,0.0808,-0.2352,0.4672,-0.0408,-0.0544,-0.1864,0.072,-0.252
-0.3328,-0.036,-0.3088,0.4728,0.0128,0.4736,-0.0472,0.2424,-0.4672,-0.2744,-0.5664,0.3384,0.0928,-0.2248,0.4808,-0.0136,-0.0608,-0.1904,0.0304,-0.2584
-0.324,-0.0304,-0.3056,0.4912,0.0408,0.4808,-0.0544,0.2328,-0.4872,-0.2872,-0.5544,0.3096,0.0744,-0.2352,0.484,-0.0184,-0.0648,-0.1792,0.0104,-0.2696
-0.3416,-0.0416,-0.3064,0.4808,0.0352,0.4896,-0.0656,0.2328,-0.496,-0.2904,-0.5728,0.3016,0.0584,-0.248,0.4952,-0.0304,-0.0608,-0.1976,0.0264,-0.252
-0.3296,-0.0784,-0.3184,0.4944,0.012,0.5256,-0.0544,0.2328,-0.5088,-0.3104,-0.5944,0.312,0.0696,-0.2344,0.5008,-0.0432,-0.0688,-0.2072,0.0656,-0.2672
-0.3272,-0.0848,-0.3408,0.4904,0.02,0.5448,-0.0552,0.2448,-0.5192,-0.3024,-0.6024,0.3216,0.0592,-0.2432,0.504,-0.0472,-0.0696,-0.1976,0.0616,-0.2696
-0.3336,-0.068,-0.3432,0.4952,0.012,0.5712,-0.0456,0.2328,-0.5016,-0.312,-0.6144,0.3176,0.0792,-0.2344,0.5168,-0.0504,-0.0448,-0.2,0.06,-0.2784
-0.3312,-0.0976,-0.384,0.4872,0.02,0.5928,-0.0384,0.268,-0.5072,-0.3144,-0.6184,0.3128,0.0816,-0.256,0.5216,-0.0464,-0.0344,-0.2032,0.0496,-0.276
-0.336,-0.096,-0.396,0.4976,-0.0056,0.584,-0.0216,0.2608,-0.5024,-0.3064,-0.632,0.3264,0.084,-0.2592,0.5072,-0.0576,-0.0352,-0.1912,0.0432,-0.2856
-0.34,-0.096,-0.4336,0.496,0.0048,0.5768,-0.0232,0.2704,-0.496,-0.3048,-0.6304,0.3264,0.0944,-0.2544,0.4992,-0.068,-0.0424,-0.2088,0.0336,-0.2704
-0.3344,-0.0952,-0.4528,0.5264,0.0312,0.6016,-0.0216,0.28,-0.5104,-0.3208,-0.6168,0.328,0.1096,-0.26,0.4928,-0.0656,-0.0464,-0.2144,0.0472,-0.2928
-0.3464,-0.0856,-0.448,0.5224,0.036,0.592,-0.0096,0.2696,-0.5144,-0.3312,-0.6264,0.3416,0.112,-0.2824,0.5144,-0.0504,-0.06,-0.2152,0.036,-0.2816
-0.3576,-0.1024,-0.424,0.5312,0.04,0.5744,-0.0272,0.2672,-0.5112,-0.3296,-0.6328,0.3296,0.1152,-0.2848,0.5248,-0.0624,-0.0656,-0.224,0.0288,-0.252
-0.352,-0.1072,-0.4264,0.5448,0.044,0.5824,-0.0424,0.2752,-0.5272,-0.3488,-0.6384,0.3328,0.12,-0.2696,0.5296,-0.0504,-0.0696,-0.2368,0.0184,-0.2536
-0.3384,-0.1048,-0.4152,0.5488,0.052,0.6032,-0.0608,0.296,-0.536,-0.3368,-0.6344,0.3512,0.1232,-0.272,0.5328,-0.0512,-0.0544,-0.2248,0.0136,-0.2472
-0.3552,-0.1008,-0.4088,0.5576,0.0736,0.6184,-0.0688,0.3192,-0.5504,-0.3264,-0.6496,0.356,0.1248,-0.2736,0.556,-0.0576,-0.052,-0.224,0.0176,-0.2184
-0.3712,-0.1088,-0.4328,0.5696,0.0832,0.6216,-0.0688,0.3264,-0.5576,-0.3256,-0.6576,0.3544,0.14,-0.284,0.5752,-0.0416,-0.06,-0.2208,0.016,-0.2176
-0.3752,-0.1016,-0.4368,0.5848,0.1016,0.6184,-0.0688,0.34,-0.5728,-0.32,-0.6552,0.352,0.1584,-0.268,0.5728,-0.0352,-0.064,-0.236,0.0304,-0.2256
-0.3848,-0.1,-0.464,0.584,0.1096,0.6184,-0.0632,0.3352,-0.5712,-0.3152,-0.6552,0.3648,0.1448,-0.2656,0.5792,-0.036,-0.0664,-0.2472,0.0136,-0.2384
-0.3904,-0.0992,-0.484,0.5968,0.1112,0.6352,-0.0632,0.3504,-0.5904,-0.3168,-0.668,0.3744,0.128,-0.2792,0.5656,-0.0272,-0.064,-0.2472,0.0328,-0.2456
-0.388,-0.0944,-0.48,0.616,0.1048,0.636,-0.0672,0.3584,-0.5976,-0.32,-0.6752,0.388,0.1112,-0.2736,0.5688,-0.0352,-0.0704,-0.24,0.0024,-0.232
-0.3856,-0.116,-0.472,0.628,0.1056,0.644,-0.0576,0.3608,-0.5664,-0.3184,-0.6808,0.3904,0.116,-0.2888,0.584,-0.0464,-0.0816,-0.2448,-0.0064,-0.2296
-0.3768,-0.1176,-0.4928,0.6304,0.0976,0.632,-0.0552,0.3768,-0.5736,-0.3232,-0.6928,0.4096,0.124,-0.308,0.5744,-0.0296,-0.064,-0.2392,-0.0224,-0.224
-0.3696,-0.1184,-0.5,0.6352,0.1008,0.6472,-0.068,0.3808,-0.572,-0.324,-0.6896,0.3928,0.1304,-0.3224,0.5808,-0.032,-0.0936,-0.2384,-0.0192,-0.2296
-0.3736,-0.1312,-0.508,0.6304,0.1184,0.6488,-0.0696,0.3704,-0.5768,-0.3112,-0.6976,0.3984,0.1024,-0.308,0.596,-0.0096,-0.0856,-0.2568,-0.0064,-0.2432
-0.3896,-0.1336,-0.5096,0.6584,0.1184,0.6584,-0.0824,0.3848,-0.5832,-0.3208,-0.692,0.404,0.1048,-0.2824,0.6072,-0.0056,-0.092,-0.2664,0.0008,-0.2376
-0.4032,-0.1344,-0.5248,0.668,0.1256,0.6544,-0.0928,0.3728,-0.58,-0.3192,-0.6928,0.3912,0.1112,-0.3144,0.624,0.008,-0.0848,-0.2504,0.004,-0.2384
-0.3808,-0.1472,-0.5288,0.6664,0.1112,0.6712,-0.1168,0.3472,-0.5752,-0.284,-0.7024,0.4096,0.1064,-0.3128,0.6272,0.032,-0.0776,-0.2832,-0.0056,-0.2376
-0.3848,-0.14,-0.5232,0.6712,0.1224,0.684,-0.1216,0.3544,-0.5784,-0.2792,-0.7072,0.404,0.1,-0.3176,0.6352,0.0376,-0.072,-0.2736,-0.0112,-0.2448
-0.3856,-0.1408,-0.5296,0.6768,0.1392,0.68,-0.1072,0.3664,-0.5824,-0.2944,-0.7264,0.396,0.0952,-0.3152,0.6728,0.04,-0.068,-0.2936,-0.0136,-0.2376
-0.3792,-0.1448,-0.5288,0.6512,0.1304,0.6848,-0.1176,0.3704,-0.5816,-0.276,-0.724,0.404,0.096,-0.3192,0.688,0.028,-0.0576,-0.2976,-0.0152,-0.24
-0.3784,-0.1648,-0.5176,0.66,0.1264,0.6952,-0.1248,0.3624,-0.5936,-0.2936,-0.7208,0.404,0.0848,-0.3264,0.6904,0.0248,-0.0496,-0.2976,-0.0344,-0.2376
-0.3808,-0.1536,-0.5472,0.6576,0.1184,0.7016,-0.1304,0.3616,-0.5984,-0.2888,-0.7216,0.4112,0.0816,-0.3296,0.6904,0.036,-0.0344,-0.2848,-0.0296,-0.232
-0.3752,-0.1504,-0.5336,0.6568,0.104,0.6848,-0.1184,0.376,-0.5912,-0.2712,-0.7192,0.4256,0.092,-0.3408,0.692,0.04,-0.0504,-0.2952,-0.0032,-0.2272
-0.3784,-0.1528,-0.5504,0.6608,0.1208,0.6864,-0.1104,0.3592,-0.6032,-0.2752,-0.728,0.4416,0.0944,-0.348,0.6984,0.032,-0.052,-0.3016,0.0,-0.2392
-0.3728,-0.1304,-0.5584,0.6736,0.12,0.6888,-0.108,0.3544,-0.6048,-0.2744,-0.7264,0.4376,0.1088,-0.3512,0.6888,0.024,-0.0624,-0.3008,0.0032,-0.2344
-0.3792,-0.1176,-0.5448,0.6608,0.1168,0.6904,-0.1112,0.3736,-0.604,-0.2608,-0.7272,0.4496,0.1256,-0.336,0.7112,0.032,-0.056,-0.288,0.0144,-0.2496
-0.3864,-0.1336,-0.5696,0.6728,0.1048,0.7096,-0.108,0.36,-0.6,-0.284,-0.74,0.4576,0.1104,-0.3328,0.7288,0.0448,-0.0568,-0.2752,0.016,-0.2336
-0.3808,-0.1384,-0.5584,0.6696,0.0768,0.7096,-0.0856,0.3544,-0.6248,-0.296,-0.7584,0.48,0.0992,-0.3376,0.7176,0.0184,-0.0584,-0.2792,0.016,-0.2416
-0.3744,-0.1472,-0.564,0.6736,0.0776,0.7056,-0.1288,0.3704,-0.6376,-0.2968,-0.7608,0.4848,0.096,-0.344,0.7272,0.0064,-0.0648,-0.2856,0.0088,-0.2392
-0.3544,-0.1688,-0.568,0.6752,0.0984,0.7088,-0.1392,0.3536,-0.632,-0.2904,-0.7552,0.484,0.1072,-0.3488,0.7304,0.024,-0.0768,-0.3008,0.024,-0.2264
-0.3536,-0.1688,-0.568,0.6704,0.1136,0.7208,-0.1288,0.3616,-0.6392,-0.3064,-0.76,0.4896,0.1192,-0.3504,0.7448,0.028,-0.0744,-0.3096,0.0304,-0.2152
-0.352,-0.1912,-0.5784,0.6736,0.1072,0.7328,-0.1416,0.3576,-0.6576,-0.2944,-0.7744,0.472,0.1176,-0.3448,0.7376,0.0184,-0.0856,-0.3056,0.0264,-0.2136
-0.3632,-0.1824,-0.5848,0.6568,0.0944,0.7344,-0.1368,0.3744,-0.6512,-0.288,-0.7808,0.4712,0.1136,-0.3136,0.7272,0.0224,-0.0632,-0.3136,0.0152,-0.212
-0.3752,-0.216,-0.5904,0.6696,0.1096,0.7304,-0.1256,0.3872,-0.652,-0.2832,-0.7848,0.4768,0.1144,-0.3192,0.7408,0.012,-0.0768,-0.3192,0.0152,-0.1888
-0.3768,-0.2176,-0.6128,0.6768,0.0872,0.7384,-0.1312,0.412,-0.6392,-0.28,-0.7904,0.4928,0.0864,-0.312,0.736,0.004,-0.08,-0.332,0.012,-0.1952
-0.3712,-0.2216,-0.6304,0.6744,0.088,0.7408,-0.1248,0.428,-0.6472,-0.284,-0.788,0.4976,0.0784,-0.3304,0.7448,0.0008,-0.0832,-0.3552,0.0128,-0.192
-0.372,-0.2232,-0.6424,0.6704,0.0856,0.736,-0.104,0.4232,-0.6312,-0.2952,-0.7968,0.4896,0.0696,-0.3488,0.7632,0.0112,-0.072,-0.3672,-0.0136,-0.1896
-0.372,-0.2032,-0.6472,0.676,0.0992,0.7368,-0.0976,0.44,-0.6416,-0.312,-0.812,0.4872,0.0664,-0.3504,0.7528,-0.0024,-0.0664,-0.3744,0.0032,-0.1872
-0.372,-0.204,-0.648,0.6992,0.104,0.7392,-0.1104,0.4592,-0.644,-0.3,-0.8184,0.4704,0.068,-0.3512,0.7448,0.0144,-0.0824,-0.3952,-0.004,-0.196
-0.372,-0.1912,-0.6544,0.6896,0.12,0.7544,-0.1304,0.4528,-0.648,-0.3064,-0.8208,0.4816,0.0864,-0.3552,0.7416,0.0136,-0.0904,-0.3984,0.0008,-0.2096
-0.3632,-0.1968,-0.6608,0.6872,0.1016,0.772,-0.1176,0.4696,-0.652,-0.3104,-0.8384,0.4832,0.0808,-0.3568,0.7528,0.0096,-0.0696,-0.4104,0.0104,-0.2232
-0.3744,-0.204,-0.6512,0.68,0.1072,0.7792,-0.112,0.4672,-0.676,-0.3184,-0.8464,0.4792,0.088,-0.3528,0.7672,0.0336,-0.0576,-0.408,0.0032,-0.2072
-0.3592,-0.2048,-0.6488,0.6872,0.096,0.7664,-0.1296,0.472,-0.6776,-0.3088,-0.844,0.4832,0.1016,-0.3664,0.7688,0.0552,-0.0656,-0.4112,0.0168,-0.2176
-0.3704,-0.1888,-0.6544,0.6696,0.0744,0.7808,-0.1344,0.4776,-0.6808,-0.2968,-0.8512,0.4696,0.1032,-0.3792,0.7744,0.0584,-0.0624,-0.4296,0.0144,-0.2072
-0.3568,-0.2152,-0.6624,0.656,0.0976,0.7992,-0.1368,0.4808,-0.6984,-0.2848,-0.8472,0.488,0.0992,-0.3624,0.784,0.0552,-0.064,-0.4384,0.016,-0.2064
-0.336,-0.2008,-0.6592,0.6688,0.0816,0.8,-0.144,0.4848,-0.6872,-0.2912,-0.8392,0.4664,0.1048,-0.388,0.7976,0.052,-0.0672,-0.436,0.0016,-0.2216
-0.336,-0.216,-0.652,0.68,0.0792,0.804,-0.1448,0.5024,-0.6832,-0.2872,-0.8384,0.48,0.12,-0.396,0.8192,0.04,-0.0688,-0.4496,0.0144,-0.2544
-0.3472,-0.2032,-0.648,0.6792,0.0656,0.8096,-0.1312,0.5128,-0.6808,-0.2992,-0.8544,0.484,0.1272,-0.4152,0.8424,0.0608,-0.068,-0.436,0.008,-0.2208
-0.3488,-0.1856,-0.648,0.692,0.052,0.812,-0.1336,0.5184,-0.692,-0.2944,-0.8432,0.4536,0.1176,-0.396,0.8696,0.044,-0.0616,-0.4248,-0.0024,-0.2368
-0.3336,-0.18,-0.6576,0.688,0.0536,0.8208,-0.1448,0.5288,-0.6968,-0.3,-0.8496,0.4656,0.1016,-0.4088,0.868,0.0256,-0.0736,-0.4376,0.0096,-0.2376
-0.3496,-0.176,-0.656,0.6888,0.0544,0.8168,-0.1384,0.5424,-0.7064,-0.304,-0.8584,0.4648,0.1088,-0.4048,0.8632,0.0272,-0.0504,-0.4328,0.0192,-0.2416
-0.34,-0.1656,-0.676,0.7024,0.0704,0.8096,-0.1376,0.5696,-0.6984,-0.3056,-0.872,0.4592,0.1056,-0.4032,0.8752,0.0288,-0.0576,-0.4296,0.0248,-0.2624
-0.34,-0.1768,-0.6816,0.7112,0.0576,0.8152,-0.136,0.5848,-0.692,-0.304,-0.8592,0.4432,0.1128,-0.4136,0.8696,0.0512,-0.0552,-0.4208,0.0328,-0.26
-0.344,-0.1664,-0.6872,0.72,0.0632,0.8064,-0.1288,0.6056,-0.7056,-0.3088,-0.8504,0.448,0.1176,-0.4168,0.8776,0.0408,-0.0616,-0.42,0.0352,-0.256
-0.3488,-0.1904,-0.684,0.7056,0.0752,0.796,-0.128,0.6104,-0.7,-0.3,-0.8496,0.4504,0.1296,-0.4128,0.8856,0.0376,-0.0552,-0.4328,0.0408,-0.2536
-0.356,-0.1976,-0.6968,0.7016,0.0744,0.7984,-0.1344,0.6336,-0.6992,-0.2952,-0.852,0.4696,0.1272,-0.4096,0.8904,0.02,-0.056,-0.4168,0.0384,-0.2336
-0.3704,-0.1856,-0.7104,0.7048,0.0744,0.8104,-0.1216,0.6384,-0.708,-0.2952,-0.8496,0.4712,0.1272,-0.404,0.9024,0.0256,-0.0464,-0.4072,0.0352,-0.2208
-0.3832,-0.1832,-0.7056,0.7008,0.0584,0.8144,-0.1328,0.6248,-0.7232,-0.3016,-0.8528,0.4672,0.1432,-0.3856,0.9032,0.0288,-0.0536,-0.4216,0.0288,-0.2192
-0.3984,-0.2072,-0.7168,0.7048,0.052,0.8096,-0.136,0.6304,-0.7256,-0.3064,-0.8568,0.4736,0.1408,-0.3776,0.896,0.0344,-0.028,-0.44,0.0328,-0.224
-0.3992,-0.204,-0.7216,0.7144,0.0512,0.8224,-0.1296,0.6168,-0.724,-0.308,-0.8448,0.4736,0.1432,-0.3808,0.896,0.0288,-0.0216,-0.44,0.024,-0.2072
-0.396,-0.22,-0.7288,0.7224,0.0544,0.8264,-0.1584,0.6032,-0.7208,-0.3168,-0.8328,0.4712,0.1304,-0.3856,0.896,0.0184,-0.012,-0.4344,0.0536,-0.2392
-0.4024,-0.224,-0.7368,0.7344,0.0448,0.8168,-0.1392,0.6264,-0.7344,-0.3224,-0.8304,0.4704,0.1312,-0.3856,0.8904,0.0376,-0.0168,-0.448,0.0632,-0.2176
-0.412,-0.2616,-0.736,0.7472,0.0384,0.8392,-0.1368,0.6392,-0.7416,-0.3248,-0.8432,0.4784,0.1336,-0.408,0.88,0.0304,-0.0168,-0.448,0.0552,-0.212
-0.3872,-0.2536,-0.7336,0.7592,0.0408,0.8448,-0.1168,0.6392,-0.7528,-0.3352,-0.8496,0.4944,0.1304,-0.4016,0.8912,0.0304,-0.032,-0.4464,0.0608,-0.2232
-0.3848,-0.2512,-0.736,0.7696,0.0512,0.84,-0.1384,0.6264,-0.7608,-0.3368,-0.8448,0.5152,0.1232,-0.4024,0.9072,0.0192,-0.0336,-0.4504,0.0624,-0.224
-0.3944,-0.2616,-0.7416,0.7768,0.0576,0.8456,-0.14,0.6312,-0.7576,-0.336,-0.8376,0.5112,0.128,-0.4024,0.916,0.016,-0.044,-0.4632,0.0656,-0.2144
-0.396,-0.2776,-0.7304,0.7744,0.04,0.8552,-0.1464,0.6544,-0.7688,-0.3248,-0.8416,0.5112,0.12,-0.416,0.9248,0.0296,-0.0416,-0.4592,0.072,-0.212
-0.396,-0.2776,-0.732,0.7816,0.0416,0.8496,-0.1544,0.6544,-0.7768,-0.3128,-0.8432,0.5304,0.12,-0.4144,0.9328,0.0288,-0.04,-0.4696,0.0704,-0.2232
-0.3904,-0.2688,-0.732,0.7896,0.0224,0.8448,-0.1448,0.6608,-0.7896,-0.3072,-0.8384,0.5112,0.1104,-0.4112,0.9312,0.0264,-0.0392,-0.4592,0.0688,-0.2192
-0.3784,-0.2776,-0.7448,0.8,0.0336,0.848,-0.1392,0.652,-0.776,-0.324,-0.84,0.5128,0.1152,-0.404,0.928,0.02,-0.0384,-0.456,0.0704,-0.2208
-0.3928,-0.272,-0.7336,0.8016,0.052,0.8424,-0.1464,0.6648,-0.7872,-0.3208,-0.8456,0.5088,0.112,-0.396,0.928,0.0064,-0.032,-0.4504,0.0664,-0.212
-0.4016,-0.2672,-0.7424,0.796,0.0488,0.8632,-0.1384,0.6904,-0.7936,-0.3232,-0.8568,0.5256,0.1008,-0.4008,0.9312,0.0072,-0.0512,-0.4408,0.0704,-0.2208
-0.4184,-0.2744,-0.7352,0.8056,0.0464,0.856,-0.1288,0.6832,-0.8024,-0.3384,-0.8648,0.5384,0.112,-0.396,0.9392,-0.0064,-0.0432,-0.4384,0.0584,-0.2152
-0.4184,-0.2816,-0.7368,0.8136,0.0432,0.8728,-0.1472,0.7016,-0.8008,-0.3336,-0.8648,0.5536,0.1176,-0.3848,0.956,-0.0192,-0.0328,-0.4568,0.0536,-0.204
-0.42,-0.2856,-0.7448,0.8184,0.0552,0.8752,-0.1432,0.7024,-0.7928,-0.3424,-0.884,0.556,0.1168,-0.3952,0.9552,-0.016,-0.0312,-0.4584,0.0704,-0.2048
-0.4288,-0.2808,-0.7248,0.8256,0.064,0.8672,-0.1448,0.7048,-0.8,-0.3264,-0.8712,0.5664,0.1184,-0.3984,0.9488,0.004,-0.0312,-0.4592,0.0704,-0.1936
-0.4176,-0.26,-0.7312,0.8384,0.0592,0.8768,-0.1568,0.7128,-0.7992,-0.3232,-0.8832,0.5656,0.1304,-0.4016,0.936,0.0128,-0.0312,-0.464,0.0632,-0.1872
-0.4184,-0.2728,-0.736,0.8336,0.0464,0.8888,-0.1664,0.7344,-0.8136,-0.3344,-0.8928,0.5888,0.1072,-0.4088,0.9288,0.0088,-0.0296,-0.4576,0.06,-0.1864
-0.4304,-0.2792,-0.7376,0.8384,0.0512,0.8896,-0.1744,0.7336,-0.7992,-0.3368,-0.8904,0.6,0.1016,-0.4184,0.9304,0.0224,-0.0288,-0.46,0.064,-0.1816
-0.428,-0.2792,-0.7504,0.8472,0.0544,0.9,-0.1808,0.724,-0.8096,-0.344,-0.8888,0.5968,0.084,-0.424,0.9376,0.036,-0.0416,-0.4512,0.0656,-0.1872
-0.4104,-0.2896,-0.7544,0.8512,0.0664,0.9016,-0.2,0.724,-0.7984,-0.3392,-0.8992,0.596,0.0712,-0.432,0.9264,0.0288,-0.0272,-0.4584,0.076,-0.1848
-0.4008,-0.288,-0.7592,0.8576,0.0592,0.8856,-0.1912,0.72,-0.8144,-0.3328,-0.8856,0.5944,0.0736,-0.424,0.9304,0.0144,-0.02,-0.4736,0.0704,-0.1944
-0.384,-0.2864,-0.7704,0.8624,0.056,0.8912,-0.192,0.7336,-0.8248,-0.332,-0.8992,0.592,0.0608,-0.4256,0.94,0.0056,-0.0184,-0.4664,0.0664,-0.1864
-0.3832,-0.2896,-0.772,0.8688,0.0584,0.8952,-0.2056,0.7328,-0.8128,-0.3512,-0.9096,0.6176,0.0472,-0.4304,0.9432,0.0384,-0.012,-0.4688,0.0568,-0.2024
-0.3848,-0.3144,-0.7712,0.8672,0.072,0.8936,-0.1968,0.7192,-0.8104,-0.3328,-0.908,0.6096,0.056,-0.4328,0.936,0.0272,-0.004,-0.4656,0.0568,-0.1992
-0.3984,-0.3048,-0.772,0.86,0.0776,0.8872,-0.2296,0.7344,-0.8024,-0.34,-0.9264,0.6024,0.0496,-0.432,0.9376,0.0312,-0.0064,-0.4504,0.0496,-0.2008
